2025-09-15 21:04:17 | INFO | 2/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:17 | INFO | extracting params
2025-09-15 21:04:17 | INFO | opening files
2025-09-15 21:04:18 | INFO | generating viz
2025-09-15 21:04:18 | INFO | completed iter
2025-09-15 21:04:18 | INFO | 3/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('blur_integrated_grad', <function blur_integrated_grad at 0x15051847cd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:18 | INFO | extracting params
2025-09-15 21:04:18 | INFO | opening files
2025-09-15 21:04:19 | INFO | generating viz
2025-09-15 21:04:19 | INFO | completed iter
2025-09-15 21:04:19 | INFO | 4/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('integrated_grad', <function integrated_grad at 0x15051847cc20>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:19 | INFO | extracting params
2025-09-15 21:04:19 | INFO | opening files
2025-09-15 21:04:20 | INFO | generating viz
2025-09-15 21:04:20 | INFO | completed iter
2025-09-15 21:04:20 | INFO | 5/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('expected_grad', <function expected_grad at 0x15051847ccc0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:20 | INFO | extracting params
2025-09-15 21:04:20 | INFO | opening files
2025-09-15 21:04:20 | INFO | generating viz
2025-09-15 21:04:20 | INFO | completed iter
2025-09-15 21:04:20 | INFO | 6/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('vanilla_grad', <function vanilla_grad at 0x15051847ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:20 | INFO | extracting params
2025-09-15 21:04:20 | INFO | opening files
2025-09-15 21:04:21 | INFO | generating viz
2025-09-15 21:04:21 | INFO | completed iter
2025-09-15 21:04:21 | INFO | 7/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:21 | INFO | extracting params
2025-09-15 21:04:21 | INFO | opening files
2025-09-15 21:04:22 | INFO | generating viz
2025-09-15 21:04:22 | INFO | completed iter
2025-09-15 21:04:22 | INFO | 8/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('blur_integrated_grad', <function blur_integrated_grad at 0x15051847cd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:22 | INFO | extracting params
2025-09-15 21:04:22 | INFO | opening files
2025-09-15 21:04:22 | INFO | generating viz
2025-09-15 21:04:23 | INFO | completed iter
2025-09-15 21:04:23 | INFO | 9/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('integrated_grad', <function integrated_grad at 0x15051847cc20>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:23 | INFO | extracting params
2025-09-15 21:04:23 | INFO | opening files
2025-09-15 21:04:23 | INFO | generating viz
2025-09-15 21:04:23 | INFO | completed iter
2025-09-15 21:04:23 | INFO | 10/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('expected_grad', <function expected_grad at 0x15051847ccc0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:23 | INFO | extracting params
2025-09-15 21:04:23 | INFO | opening files
2025-09-15 21:04:24 | INFO | generating viz
2025-09-15 21:04:24 | INFO | completed iter
2025-09-15 21:04:24 | INFO | 11/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x15051847ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:24 | INFO | extracting params
